,State,cycle,mean,std,alpha,beta,stdv of votePct
229,VA,2010,0.47354003378967269,0.018567190476415266,341.96794176797721,380.18418343093583,0.1441596289963544
230,WA,1970,0.57399920867779897,0.060033612929947203,38.370312412450836,28.477013911981633,0.14207790517460206
231,WA,1980,0.55047857515362397,0.025350789171170413,211.40676846556099,172.63500537924844,0.17604144683394751
232,WA,1990,0.53369565025366061,0.030211361132129678,144.98413392560434,126.67656605704441,0.14098653055029592
233,WA,2000,0.57111192276689793,0.038793685816512172,92.382086607872537,69.376200910104444,0.14777839446369989
234,WA,2010,0.54212510440137007,0.0073260124382696313,2506.7825049078183,2117.210157590036,0.15726680708182841
235,WV,1970,0.63157621768613292,0.037942456347953145,101.45022079938863,59.179989709590927,0.076207360582727257
236,WV,1980,0.63531860456176548,0.037497369676654596,104.052257830106,59.72739081072028,0.075910712446097289
237,WV,1990,0.66680240733018947,0.041957990549588736,83.485656712439962,41.717335650332437,0.053774482635733908
238,WV,2000,0.54501737266392591,0.056219190868693758,42.215832119822934,35.241941223219627,0.13980514330890492
239,WV,2010,0.38840070611122446,0.048126830768105075,39.445466358852322,62.113222227971484,0.088260492844438418
240,WI,1970,0.55720784181137717,0.038399791805976059,92.677286780881303,73.647161345342113,0.16009339256800584
241,WI,1980,0.48589997184346673,0.0156474961994564,495.25147864866778,523.99426604590838,0.18573858117465972
242,WI,1990,0.47059376297539135,0.032087993115115183,113.39598599068134,127.56765380284293,0.1605838083703322
243,WI,2000,0.48375750047966559,0.03353561752928718,106.93906579334778,114.12017501907015,0.16744516492425018
244,WI,2010,0.48296340479742933,0.021339605144872941,264.35300842407992,283.0031800535092,0.16277998921995884
245,WY,1970,0.47128509286408293,0.10542631220429843,10.094236230042274,11.324298713844481,0.0
246,WY,1980,0.32314946097259806,0.07553037483203523,12.06642445066595,25.273648512318637,0.0
247,WY,1990,0.39339765488941802,0.054533802566915937,31.173801872784296,48.068668145363333,0.0
248,WY,2000,0.40179359396629544,0.091635176384759431,11.099127813801143,16.524826327021213,0.0
249,WY,2010,0.27779857703192373,0.041681572840890135,31.801892416130183,82.676348458644384,0.0
